subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value
demographics,race_BLACK/AFRICAN AMERICAN,false_positive,6481,4498,770,0.1711871943085816,0.13739373767781052,1.2459606762428797,5.23906539490076e-12
diagnosis,has_substance_use,false_positive,19942,4498,2333,0.5186749666518453,0.42275974645438935,1.2268787910908734,1.4307480256551872e-42
demographics,marital_status_DIVORCED,false_positive,4289,4498,485,0.10782570031124944,0.0909245087023807,1.1858815829755065,3.8224731428288215e-05
diagnosis,has_psychotic_disorder,false_positive,3064,4498,337,0.07492218763895064,0.06495516312988912,1.153444684437644,0.004803024272828206
demographics,gender_M,false_positive,23471,4498,2576,0.5726989773232548,0.49757266116893856,1.150985618819618,3.7193040371726835e-26
diagnosis,has_depression,false_positive,19231,4498,2072,0.4606491774121832,0.4076869262894575,1.1299091231714469,3.356366247215202e-14
diagnosis,has_self_harm_or_suicidal_ideation,false_positive,3648,4498,393,0.08737216540684749,0.07733565114159123,1.1297786223701762,0.00879241065444806
care_process,orders_last_12h_before_discharge_high,false_positive,4729,4498,497,0.11049355269008448,0.1002522736427042,1.1021550801319466,0.017389808080714587
demographics,age_under_40,false_positive,11027,4498,1135,0.25233437083148064,0.2337665090839711,1.0794290928168833,0.0021046292614588413
demographics,language_Spanish,false_positive,1361,4498,139,0.030902623388172522,0.028852472917682476,1.0710563172986671,0.41404661935665044
medical_complexity,medical_complexity_no_aftercare_flag,false_positive,4284,4498,436,0.09693196976433971,0.09081851137351339,1.0673151133878778,0.1407757342576073
diagnosis,has_anxiety_ptsd,false_positive,15048,4498,1521,0.33815028901734107,0.31900956095906385,1.0600004840003319,0.003990593029155525
care_process,num_total_poe_orders_high,false_positive,4742,4498,477,0.10604713205869275,0.10052786669775922,1.054902839801897,0.20473597927464435
care_process,care_team_touchpoints_last_12h_before_discharge_high,false_positive,4750,4498,466,0.1036016007114273,0.10069746242394692,1.0288402330860498,0.5128224020744535
demographics,language_English,false_positive,43738,4498,4251,0.9450867052023122,0.9272222339997032,1.0192666553362812,1.442648906176126e-06
care_process,late_medication_change_intensity_score_high,false_positive,5054,4498,491,0.10915962650066696,0.10714210001907952,1.0188303802261498,0.6638411831418449
care_process,late_medication_change_intensity_score_any,false_positive,29135,4498,2823,0.6276122721209426,0.6176464353098302,1.0161351806492873,0.15274115253986842
care_process,late_order_type_diversity_last_12h_high,false_positive,9714,4498,940,0.2089817696754113,0.2059316105234148,1.014811515066793,0.6083129008991076
discharge_pathway,discharged_to_facility_flag,false_positive,16552,4498,1597,0.3550466874166296,0.35089355748235146,1.0118358683017057,0.5503754688931615
care_process,quiet_risk_summary_score_any,false_positive,47171,4498,4498,1.0,1.0,1.0,
demographics,race_WHITE,false_positive,30368,4498,2895,0.6436193863939529,0.6437853766085094,0.9997421652920558,0.9935583747312887
care_process,num_care_team_touchpoints_any,false_positive,44925,4498,4093,0.9099599822143175,0.9523859998728033,0.9554529175521774,1.3226861139563384e-44
care_process,num_total_poe_orders_any,false_positive,44816,4498,4077,0.906402845709204,0.9500752581034958,0.9540326810725827,3.6019455898197057e-45
care_process,orders_last_24h_before_discharge_any,false_positive,44410,4498,4006,0.8906180524677635,0.9414682749994701,0.9459883844394702,1.8883997729749223e-52
care_process,care_team_touchpoints_last_12h_before_discharge_any,false_positive,43117,4498,3845,0.85482436638506,0.914057365754383,0.9351977221687423,4.862505358313324e-50
care_process,orders_last_12h_before_discharge_any,false_positive,43122,4498,3845,0.85482436638506,0.9141633630832503,0.9350892859039391,2.8806686189486685e-50
discharge_pathway,protective_aftercare_present_flag,false_positive,34278,4498,3056,0.6794130724766563,0.7266752877827479,0.9349610257831948,8.636899219742633e-14
care_process,late_order_type_diversity_last_12h_any,false_positive,43044,4498,3837,0.8530457981325034,0.9125098047529202,0.9348346655447523,1.2253538749008326e-49
demographics,insurance_grouped_Medicare,false_positive,21195,4498,1854,0.41218319253001334,0.44932267706853785,0.9173434005583043,1.5292309465887302e-07
discharge_pathway,home_discharge_with_psych_risk,false_positive,2307,4498,194,0.04313028012449978,0.04890716753937801,0.8818805564598089,0.06397217943714638
demographics,race_WHITE - OTHER EUROPEAN,false_positive,1262,4498,104,0.023121387283236993,0.026753725806109685,0.8642305543086943,0.12387651796649045
demographics,language_Kabuverdianu,false_positive,294,4498,24,0.005335704757670075,0.006232642937397978,0.8560902351158337,0.48141337825500286
discharge_pathway,discharged_home_flag,false_positive,14459,4498,1175,0.26122721209426414,0.3065230756184944,0.8522269051593149,4.826751723095285e-12
demographics,language_Chinese,false_positive,308,4498,25,0.005558025789239662,0.0065294354582264525,0.8512260860526756,0.4513617257127893
demographics,gender_F,false_positive,23700,4498,1922,0.42730102267674525,0.5024273388310615,0.8504732717588501,3.7193040371726835e-26
care_process,num_care_team_touchpoints_high,false_positive,5029,4498,403,0.08959537572254335,0.10661211337474295,0.8403864522187497,0.00011219626622549892
demographics,marital_status_MARRIED,false_positive,14808,4498,1129,0.2510004446420631,0.3139216891734328,0.799563882645243,1.3824169318032002e-21
demographics,insurance_grouped_Private,false_positive,11924,4498,876,0.19475322365495776,0.25278242988276695,0.7704381342693738,5.6159724138626445e-21
demographics,race_OTHER,false_positive,1419,4498,99,0.022009782125389062,0.0300820419325433,0.7316585148955091,0.0010147095890000357
diagnosis,new_psychosis_this_admission_flag,false_positive,1452,4498,98,0.021787461093819474,0.03078162430306756,0.70780738791774,0.0002874169459185621
discharge_pathway,home_discharge_without_followup_order_flag,false_positive,8116,4498,535,0.11894175188972878,0.17205486421742172,0.6913013033995067,4.075335240588346e-23
care_process,orders_last_24h_before_discharge_high,false_positive,4765,4498,312,0.06936416184971098,0.10101545441054885,0.6866688097823119,1.5813200775142705e-13
diagnosis,new_self_harm_this_admission_flag,false_positive,2147,4498,130,0.028901734104046242,0.04551525301562401,0.6349900789110224,2.3664803665857438e-08
medical_complexity,had_icu_stay,false_positive,8070,4498,466,0.1036016007114273,0.17107968879184243,0.605575106215457,1.762033098039953e-36
demographics,insurance_grouped_Other / unknown,false_positive,2243,4498,124,0.027567807914628723,0.04755040172987641,0.579759726768146,4.573989525823382e-11
medical_complexity,age_65plus_x_charlson,false_positive,11407,4498,622,0.1382836816362828,0.24182230607788685,0.5718400584259749,4.732116631865153e-65
demographics,marital_status_WIDOWED,false_positive,4495,4498,227,0.05046687416629613,0.09529159865171398,0.5296046543489109,6.74012132426724e-27
demographics,race_WHITE - RUSSIAN,false_positive,500,4498,24,0.005335704757670075,0.010599732886731255,0.5033810582481102,0.0003881371517044348
demographics,age_65plus,false_positive,14783,4498,697,0.15495775900400177,0.31339170252909626,0.4944539301885793,5.587266953040332e-128
diagnosis,has_cognitive_delirium,false_positive,6322,4498,292,0.06491774121831925,0.13402302261982998,0.48437753416788,2.899988634514178e-46
discharge_pathway,discharged_to_psych_facility_flag,false_positive,571,4498,26,0.005780346820809248,0.012104894956647093,0.4775214358745938,6.162981528177188e-05
demographics,age_70plus,false_positive,11090,4498,430,0.09559804357492219,0.23510207542769923,0.4066235629822051,7.54098619467505e-119
medical_complexity,vital_instability_near_discharge_score,false_positive,1529,4498,59,0.013116940862605602,0.03241398316762418,0.40466920695223596,2.1876761600214236e-14
