subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,calibration_gap_mean_predicted_minus_observed,absolute_calibration_gap,calibration_direction,brier_score,pr_auc_average_precision,recall_sensitivity,interpretation_reliability
diagnosis,new_psychosis_this_admission_flag,1452,417,0.2871900826446281,0.3529594248406803,0.06576934219605224,0.06576934219605224,overestimates,0.09942387642104594,0.8537695007471603,0.7410071942446043,main_interpretation
care_process,num_care_team_touchpoints_any,44925,8247,0.18357262103505842,0.24932301728918174,0.06575039625412332,0.06575039625412332,overestimates,0.1227524605797901,0.5364401610779976,0.4823572208075664,main_interpretation
care_process,num_total_poe_orders_any,44816,8230,0.18363977151017494,0.2493189271501555,0.06567915563998056,0.06567915563998056,overestimates,0.12270709873351104,0.53700197969576,0.4825030376670717,main_interpretation
demographics,language_English,43738,8766,0.20042068681695552,0.2660649377922656,0.06564425097531007,0.06564425097531007,overestimates,0.1236587049603458,0.6015467890464571,0.5419803787360256,main_interpretation
care_process,orders_last_24h_before_discharge_any,44410,7997,0.18007205584327854,0.2456997353450355,0.06562767950175696,0.06562767950175696,overestimates,0.12283515666086853,0.5176726223543198,0.4686757534075278,main_interpretation
medical_complexity,age_65plus_x_charlson,11407,1736,0.15218725344086964,0.2175943754030564,0.06540712196218676,0.06540712196218676,overestimates,0.11844632749898586,0.3820892503632611,0.27419354838709675,main_interpretation
discharge_pathway,home_discharge_without_followup_order_flag,8116,1170,0.1441596845736816,0.2094814261501949,0.0653217415765133,0.0653217415765133,overestimates,0.11077555124839213,0.39505955233229884,0.36923076923076925,main_interpretation
demographics,race_WHITE,30368,5932,0.19533719704952582,0.2600828529230208,0.06474565587349498,0.06474565587349498,overestimates,0.12727092887239078,0.5555571882278715,0.49527983816587995,main_interpretation
demographics,language_Russian,569,76,0.1335676625659051,0.19722544528653763,0.06365778272063252,0.06365778272063252,overestimates,0.10643045489691652,0.39735628012046975,0.25,supporting_interpretation
demographics,age_70plus,11090,1520,0.13706041478809738,0.1997069654854726,0.06264655069737521,0.06264655069737521,overestimates,0.10776774402233727,0.37847726345749133,0.24144736842105263,main_interpretation
demographics,age_under_40,11027,2379,0.21574317584111727,0.278161824087546,0.062418648246428704,0.062418648246428704,overestimates,0.11087603293726674,0.7175175278404943,0.6637242538881883,main_interpretation
demographics,age_65plus,14783,2144,0.14503145504971926,0.20726665971610103,0.06223520466638177,0.06223520466638177,overestimates,0.11231435550334999,0.3907978845348333,0.2677238805970149,main_interpretation
diagnosis,has_anxiety_ptsd,15048,3142,0.20879851143009037,0.2703529236335617,0.061554412203471354,0.061554412203471354,overestimates,0.12802094154856175,0.5968575006008692,0.5429662635264163,main_interpretation
demographics,marital_status_WIDOWED,4495,710,0.15795328142380421,0.2191577958109627,0.06120451438715849,0.06120451438715849,overestimates,0.11850148902097299,0.42111828209584296,0.32816901408450705,main_interpretation
care_process,orders_last_12h_before_discharge_high,4729,802,0.16959187989004018,0.2301138977312844,0.060522017841244224,0.060522017841244224,overestimates,0.12359278320569099,0.42962718345610895,0.44389027431421446,main_interpretation
demographics,marital_status_MARRIED,14808,2585,0.17456780118854673,0.2347642408689237,0.06019643968037697,0.06019643968037697,overestimates,0.11937037143958588,0.5143280098482026,0.42823984526112185,main_interpretation
demographics,gender_F,23700,4464,0.18835443037974683,0.24852602263090745,0.060171592251160616,0.060171592251160616,overestimates,0.11882576438044583,0.5805442484830852,0.4923835125448029,main_interpretation
