subgroup_family,subgroup_name,subgroup_admissions,complement_admissions,subgroup_readmission_rate,complement_readmission_rate,readmission_rate_difference,subgroup_pr_auc,complement_pr_auc,pr_auc_difference,subgroup_recall,complement_recall,recall_difference,subgroup_precision,complement_precision,precision_difference,absolute_pr_auc_difference,absolute_recall_difference
diagnosis,has_personality_disorder,904,46267,0.29535398230088494,0.19564700542503297,0.09970697687585198,0.6757012689362834,0.5939866865616472,0.08171458237463614,0.6666666666666666,0.531374281926646,0.1352923847400206,0.5426829268292683,0.5252238480017472,0.01745907882752118,0.08171458237463614,0.1352923847400206
demographics,race_OTHER,1419,45752,0.17124735729386892,0.19837384158069593,-0.027126484286827013,0.6620019450057408,0.5944524589653227,0.0675494860404181,0.551440329218107,0.5348171000440722,0.016623229174034804,0.575107296137339,0.5245866205554955,0.05052067558184348,0.0675494860404181,0.016623229174034804
demographics,insurance_grouped_Medicaid,11809,35362,0.23930900160894233,0.1836151801368701,0.05569382147207225,0.6409662162088579,0.5761989324016529,0.06476728380720498,0.6273885350318471,0.49514862159248424,0.13223991343936287,0.5188762071992976,0.5297413082880211,-0.010865101088723517,0.06476728380720498,0.13223991343936287
demographics,race_HISPANIC OR LATINO,550,46621,0.21636363636363637,0.1973359644795264,0.019027671884109976,0.6521374363661318,0.595681971015344,0.056455465350787715,0.6890756302521008,0.5332608695652173,0.1558147606868835,0.5256410256410257,0.5258306538049303,-0.00018962816390466486,0.056455465350787715,0.1558147606868835
prior_utilisation,previous_psych_admissions_365d_any,19427,27744,0.2831626087404128,0.13761534025374855,0.14554726848666427,0.6046008365214521,0.5491344685738448,0.05546636794760729,0.6556989638247591,0.36170770036668415,0.29399126345807497,0.4812541694462975,0.6936212958312405,-0.21236712638494304,0.05546636794760729,0.29399126345807497
prior_utilisation,previous_ed_visits_365d_any,19619,27552,0.27361231459299656,0.14340156794425088,0.13021074664874568,0.6044724508880588,0.5579473683273538,0.04652508256070498,0.6471684053651267,0.38319412806884334,0.2639742772962833,0.48465401785714285,0.6531492666091459,-0.168495248752003,0.04652508256070498,0.2639742772962833
discharge_pathway,home_discharge_without_discharge_planning_order_flag,309,46862,0.22006472491909385,0.1974094148777261,0.022655310041367754,0.5563480865378473,0.596970483966557,-0.04062239742870977,0.6764705882352942,0.5342125175656686,0.1422580706696256,0.4107142857142857,0.5272029016428419,-0.1164886159285562,0.04062239742870977,0.1422580706696256
demographics,language_Spanish,1361,45810,0.1807494489346069,0.19805719275267408,-0.017307743818067184,0.5595788239211079,0.5973907389203063,-0.03781191499919834,0.532520325203252,0.5353245894411992,-0.0028042642379472182,0.48518518518518516,0.5270182291666666,-0.041833043981481466,0.03781191499919834,0.0028042642379472182
demographics,race_WHITE - OTHER EUROPEAN,1262,45909,0.196513470681458,0.19758652987431657,-0.0010730591928585775,0.5598964065394069,0.5975120256214081,-0.037615619082001284,0.4879032258064516,0.5365450336236358,-0.04864180781718419,0.5377777777777778,0.5255371990065868,0.012240578771191002,0.037615619082001284,0.04864180781718419
diagnosis,has_depression,19231,27940,0.21792938484738184,0.1835361488904796,0.034393235956902246,0.6156623960816711,0.5805705623667813,0.035091833714889775,0.5592937246480554,0.515600624024961,0.043693100623094394,0.5307971014492754,0.5214990138067062,0.00929808764256923,0.035091833714889775,0.043693100623094394
