subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value,admissions,readmissions,readmission_rate,pr_auc_average_precision,recall_sensitivity,precision,interpretation_reliability,error_profile_priority_score
diagnosis,psychosis_and_substance_use_flag,false_negative,1077,4331,79,0.018240591087508657,0.02283182463801912,0.7989107912617186,0.038518897340925326,1077,318,0.29526462395543174,0.8104171014114643,0.7515723270440252,0.6240208877284595,main_interpretation,3.5008483660372365
demographics,language_Kabuverdianu,false_negative,294,4331,28,0.0064650196259524355,0.006232642937397978,1.037283812162593,0.9182791925279123,294,42,0.14285714285714285,0.4226882171994285,0.3333333333333333,0.3684210526315789,supporting_interpretation,3.4928414552075724
medical_complexity,vital_instability_near_discharge_score,false_negative,1529,4331,102,0.023551142923112445,0.03241398316762418,0.726573553189102,0.0006473841963431572,1529,155,0.1013734466971877,0.4540588074811952,0.3419354838709677,0.4732142857142857,main_interpretation,3.3674715090465384
demographics,language_Chinese,false_negative,308,4331,28,0.0064650196259524355,0.0065294354582264525,0.9901345479733842,1.0,308,50,0.16233766233766234,0.4926122113716312,0.44,0.46808510638297873,supporting_interpretation,3.334075934516319
diagnosis,has_self_harm_or_suicidal_ideation,false_negative,3648,4331,199,0.04594781805587624,0.07733565114159123,0.5941350124763537,6.2391000650498e-16,3648,1234,0.33826754385964913,0.883581753399686,0.8387358184764991,0.7247899159663865,main_interpretation,3.147915854677699
diagnosis,self_harm_and_substance_use_flag,false_negative,1867,4331,108,0.024936504271530824,0.03957940259905451,0.6300374092085594,2.6675185933606847e-07,1867,617,0.3304767005891805,0.8501417563985108,0.8249594813614263,0.668856767411301,main_interpretation,2.9557246654157114
prior_utilisation,previous_psych_admissions_365d_high,false_negative,6826,4331,319,0.07365504502424382,0.14470755336965507,0.5089924009432472,4.501681653968343e-44,6826,2879,0.42176970407266334,0.6816163102861432,0.8891976380687738,0.5003909304143862,main_interpretation,2.936031553060414
discharge_pathway,low_aftercare_quality_flag,false_negative,5719,4331,266,0.06141768644654814,0.12123974475843209,0.5065804664049872,1.4068311754346455e-36,5719,1918,0.3353733170134639,0.8664648749736266,0.8613138686131386,0.6712718407151564,main_interpretation,2.8303910312930376
demographics,race_HISPANIC OR LATINO,false_negative,550,4331,37,0.008543061648580005,0.011659706175404379,0.7326995655003045,0.05352584898575699,550,119,0.21636363636363637,0.6521374363661318,0.6890756302521008,0.5256410256410257,supporting_interpretation,2.665257798701444
discharge_pathway,home_discharge_without_discharge_planning_order_flag,false_negative,309,4331,22,0.005079658277534056,0.006550634923999915,0.7754451799662103,0.24589282948086166,309,68,0.22006472491909385,0.5563480865378473,0.6764705882352942,0.4107142857142857,supporting_interpretation,2.431403876554191
prior_utilisation,previous_ed_visits_365d_high,false_negative,4734,4331,199,0.04594781805587624,0.10035827097157152,0.45783788033665784,9.805842978446896e-36,4734,2161,0.4564850021123785,0.6902641872452628,0.9079130032392411,0.5254418853776112,main_interpretation,2.425770392451256
diagnosis,new_self_harm_this_admission_flag,false_negative,2147,4331,98,0.022627568690833526,0.04551525301562401,0.4971425443480709,4.528674723808612e-14,2147,731,0.34047508150908246,0.9274422346980641,0.86593707250342,0.8296199213630406,main_interpretation,2.2844295738802365
care_process,quiet_risk_summary_score_high,false_negative,5811,4331,223,0.05148926344954976,0.12319009560959064,0.4179659346375343,3.926555654193259e-51,5811,2410,0.414730683187059,0.9128637016939516,0.9074688796680498,0.7170491803278689,main_interpretation,2.261883699991114
prior_utilisation,previous_psych_admissions_90d_high,false_negative,5289,4331,203,0.04687139228815516,0.11212397447584321,0.4180318482935464,4.089628980788302e-46,5289,2383,0.4505577613915674,0.7133764475314095,0.9148132605958875,0.5249217433180833,main_interpretation,2.2231435304735614
