subgroup_family,subgroup_name,subgroup_value,admissions,readmissions,readmission_rate,mean_predicted_probability,threshold,roc_auc,pr_auc_average_precision,brier_score,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,pr_auc_difference_from_overall,recall_difference_from_overall,subgroup_size_flag,event_support_flag,interpretation_reliability
care_process,orders_last_12h_before_discharge_high,included,4729,802,0.16959187989004018,0.2301138977312844,0.38,0.7781107455451008,0.42962718345610895,0.12359278320569099,0.41735052754982416,0.44389027431421446,0.8734402852049911,0.43021148036253776,0.6586652797596028,3430,497,446,356,-0.16685185083998189,-0.0913602890509535,moderate,high_event_support,main_interpretation
care_process,care_team_touchpoints_last_12h_before_discharge_any,included,43117,7207,0.1671498480877612,0.23328952406114914,0.38,0.7585479393100638,0.42575434946210267,0.12376156317969401,0.43737196371085746,0.4147356736506175,0.892926761347814,0.425753151484937,0.6538312174992158,32065,3845,4218,2989,-0.17072468483398817,-0.12051488971455049,large,high_event_support,main_interpretation
care_process,orders_last_12h_before_discharge_any,included,43122,7207,0.16713046704698298,0.23327535687078563,0.38,0.7585661966731841,0.4257486028456738,0.12374965873428191,0.43737196371085746,0.4147356736506175,0.8929416678268133,0.425753151484937,0.6538386707387154,32070,3845,4218,2989,-0.17073043145041705,-0.12051488971455049,large,high_event_support,main_interpretation
care_process,late_order_type_diversity_last_12h_any,included,43044,7197,0.16720100362419849,0.23331633946170657,0.38,0.7583148982809504,0.42508939905811105,0.12383909787851301,0.4372249926664711,0.4142003612616368,0.8929617541216838,0.4254013556903318,0.6535810576916603,32010,3837,4216,2981,-0.1713896352379798,-0.12105020210353118,large,high_event_support,main_interpretation
care_process,late_order_type_diversity_last_12h_high,included,9714,1679,0.17284331892114474,0.24121378354915388,0.38,0.7432668199320053,0.40594793896452236,0.12993774154615803,0.4222495390288875,0.4091721262656343,0.8830118232731798,0.41560798548094374,0.646091974769407,7095,940,992,687,-0.19053109533156848,-0.12607843709953365,large,high_event_support,main_interpretation
care_process,care_team_touchpoints_last_12h_before_discharge_high,included,4750,734,0.15452631578947368,0.22567997065040685,0.38,0.7564235564553773,0.38821117494501334,0.1202020066883212,0.3844121532364597,0.39645776566757496,0.8839641434262948,0.3903420523138833,0.6402109545469349,3550,466,443,291,-0.2082678593510775,-0.138792797697593,moderate,high_event_support,main_interpretation
demographics,insurance_grouped_Other / unknown,included,2243,411,0.18323673651359787,0.2299719398386442,0.38,0.8789232248536427,0.7529368635535937,0.08568789942470922,0.6795865633074936,0.6399026763990268,0.9323144104803494,0.6591478696741855,0.7861085434396881,1708,124,148,263,0.15645782925750285,0.1046521130338588,moderate,moderate_event_support,main_interpretation
demographics,age_under_40,included,11027,2379,0.21574317584111727,0.278161824087546,0.38,0.8568988828008254,0.7175175278404943,0.11087603293726674,0.581798084008843,0.6637242538881883,0.8687557816836263,0.6200667582957,0.7662400177859073,7513,1135,800,1579,0.12103849354440344,0.12847369052302038,large,high_event_support,main_interpretation
demographics,marital_status_Unknown,included,1389,83,0.059755219582433405,0.10117519307315698,0.38,0.9035129799442795,0.7102197639923268,0.03017577446937493,0.7666666666666667,0.5542168674698795,0.9892802450229708,0.6433566433566433,0.7717485562464252,1292,14,37,46,0.11374072969623594,0.018966304104711562,moderate,limited_event_support,exploratory_only
demographics,race_BLACK/AFRICAN AMERICAN,included,6481,1609,0.2482641567659312,0.3193725904115034,0.38,0.8228481315588322,0.6919440695888543,0.1337226474790976,0.57387935805202,0.6444996892479801,0.8419540229885057,0.6071428571428571,0.7432268561182429,4102,770,572,1037,0.09546503529276351,0.1092491258828121,large,high_event_support,main_interpretation
demographics,race_OTHER,included,1419,243,0.17124735729386892,0.2372394309370164,0.38,0.8387678116514096,0.6620019450057408,0.09805925329995184,0.575107296137339,0.551440329218107,0.9158163265306123,0.5630252100840336,0.7336283278743596,1077,99,109,134,0.06552291070965,0.016189765852939075,moderate,moderate_event_support,main_interpretation
demographics,marital_status_SINGLE,included,22190,5027,0.22654348805768365,0.2960042515835303,0.38,0.8168736460472883,0.6534153221955619,0.12973935706947287,0.5389043963712491,0.6144817982892381,0.8460059430169551,0.574216934659355,0.7302438706530966,14520,2643,1938,3089,0.05693628789947103,0.07923123492407014,large,high_event_support,main_interpretation
demographics,race_HISPANIC OR LATINO,included,550,119,0.21636363636363637,0.2950111286385786,0.38,0.8420519019672835,0.6521374363661318,0.12449811955307437,0.5256410256410257,0.6890756302521008,0.8283062645011601,0.5963636363636363,0.7586909473766305,357,74,37,82,0.05565840207004091,0.15382506688693287,small,moderate_event_support,supporting_interpretation
