finding_type,subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,calibration_gap_mean_predicted_minus_observed,calibration_direction,pr_auc_average_precision,recall_sensitivity,precision,f1_score,pr_auc_difference,recall_difference,classification_group,enrichment_ratio,subgroup_count_in_group,false_positive_admissions,readmitted_60d_psych_rate_among_30d_false_positives,readmitted_90d_psych_rate_among_30d_false_positives,readmitted_365d_psych_rate_among_30d_false_positives,interpretation_reliability
lowest_recall,demographics,age_80plus,5476.0,700.0,0.12783053323593865,0.18721656507701176,,,0.3340200584381712,0.18714285714285714,0.4532871972318339,0.2649140546006067,,,,,,,,,,main_interpretation
lowest_recall,demographics,age_70plus,11090.0,1520.0,0.13706041478809738,0.1997069654854726,,,0.37847726345749133,0.24144736842105263,0.4604767879548306,0.31678895123003886,,,,,,,,,,main_interpretation
lowest_recall,demographics,language_Russian,569.0,76.0,0.1335676625659051,0.19722544528653763,,,0.39735628012046975,0.25,0.5428571428571428,0.34234234234234234,,,,,,,,,,supporting_interpretation
lowest_recall,prior_utilisation,low_psych_history_but_prior_admissions,10296.0,1400.0,0.13597513597513597,0.19405277896470943,,,0.4490938684602007,0.25285714285714284,0.6604477611940298,0.365702479338843,,,,,,,,,,main_interpretation
lowest_recall,diagnosis,has_cognitive_delirium,6322.0,932.0,0.14742170199304017,0.20667697634479198,,,0.39554125161197157,0.26394849785407726,0.45724907063197023,0.3346938775510204,,,,,,,,,,main_interpretation
lowest_recall,demographics,age_65plus,14783.0,2144.0,0.14503145504971926,0.20726665971610103,,,0.3907978845348333,0.2677238805970149,0.45161290322580644,0.33616398243045387,,,,,,,,,,main_interpretation
lowest_recall,medical_complexity,age_65plus_x_charlson,11407.0,1736.0,0.15218725344086964,0.2175943754030564,,,0.3820892503632611,0.27419354838709675,0.4335154826958106,0.3359209597741708,,,,,,,,,,main_interpretation
lowest_recall,demographics,marital_status_WIDOWED,4495.0,710.0,0.15795328142380421,0.2191577958109627,,,0.42111828209584296,0.32816901408450705,0.5065217391304347,0.39829059829059826,,,,,,,,,,main_interpretation
lowest_recall,demographics,language_Kabuverdianu,294.0,42.0,0.14285714285714285,0.2183108871005903,,,0.4226882171994285,0.3333333333333333,0.3684210526315789,0.35,,,,,,,,,,supporting_interpretation
lowest_recall,medical_complexity,vital_instability_near_discharge_score,1529.0,155.0,0.1013734466971877,0.14835149029556435,,,0.4540588074811952,0.3419354838709677,0.4732142857142857,0.3970037453183521,,,,,,,,,,main_interpretation
highest_readmission_rate,discharge_pathway,discharged_to_psych_facility_flag,571.0,307.0,0.5376532399299475,0.5542380951249898,,,0.9761107967001248,0.8925081433224755,0.9133333333333333,0.9028006589785832,,,,,,,,,,supporting_interpretation
highest_readmission_rate,prior_utilisation,previous_ed_visits_365d_high,4734.0,2161.0,0.4564850021123785,0.547011192103384,,,0.6902641872452628,0.9079130032392411,0.5254418853776112,0.665648854961832,,,,,,,,,,main_interpretation
highest_readmission_rate,prior_utilisation,previous_psych_admissions_90d_high,5289.0,2383.0,0.4505577613915674,0.5496181364517175,,,0.7133764475314095,0.9148132605958875,0.5249217433180833,0.6670746634026927,,,,,,,,,,main_interpretation
highest_readmission_rate,prior_utilisation,previous_psych_admissions_365d_high,6826.0,2879.0,0.42176970407266334,0.5222559348489536,,,0.6816163102861432,0.8891976380687738,0.5003909304143862,0.6404002501563477,,,,,,,,,,main_interpretation
highest_readmission_rate,care_process,quiet_risk_summary_score_high,5811.0,2410.0,0.414730683187059,0.48347443247418603,,,0.9128637016939516,0.9074688796680498,0.7170491803278689,0.8010989010989011,,,,,,,,,,main_interpretation
highest_readmission_rate,prior_utilisation,previous_total_admissions_high,5064.0,2035.0,0.4018562401263823,0.4903856486193119,,,0.6825283350278294,0.8275184275184275,0.5184729064039408,0.637516562559152,,,,,,,,,,main_interpretation
highest_readmission_rate,diagnosis,new_self_harm_this_admission_flag,2147.0,731.0,0.34047508150908246,0.39214739744874805,,,0.9274422346980641,0.86593707250342,0.8296199213630406,0.8473895582329317,,,,,,,,,,main_interpretation
highest_readmission_rate,diagnosis,has_self_harm_or_suicidal_ideation,3648.0,1234.0,0.33826754385964913,0.40469093995813,,,0.883581753399686,0.8387358184764991,0.7247899159663865,0.777610818933133,,,,,,,,,,main_interpretation
highest_readmission_rate,discharge_pathway,low_aftercare_quality_flag,5719.0,1918.0,0.3353733170134639,0.40568830367931036,,,0.8664648749736266,0.8613138686131386,0.6712718407151564,0.7545101621374743,,,,,,,,,,main_interpretation
highest_readmission_rate,diagnosis,self_harm_and_substance_use_flag,1867.0,617.0,0.3304767005891805,0.4094037471035157,,,0.8501417563985108,0.8249594813614263,0.668856767411301,0.7387518142235123,,,,,,,,,,main_interpretation
largest_pr_auc_gap,care_process,orders_last_12h_before_discharge_any,,,,,,,,,,,-0.5166815327567007,-0.5317605384705947,,,,,,,,
