source_notebook,model_family,model_group,model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,threshold_role_normalised,threshold_role,evaluation_subset,subset_admissions,precision_recall_gap,ensemble_members,ensemble_weights,ensemble_blend_note,recommended_threshold_label,threshold_selection_note
WP3.4,Calibrated Targeted CatBoost,calibrated_targeted_catboost,Calibrated Targeted CatBoost validation Youden threshold,0.18,0.7685,0.7104,0.4386,0.6143,0.8064,0.5118,0.79,0.5785,0.1211,30525,7327,3594,5725,28.5832,0.8627,0.2353,0.005,training_youden,recall sensitivity,,,,,,,,
WP3.4,Calibrated Targeted CatBoost,calibrated_targeted_catboost,Calibrated Targeted CatBoost balanced precision-recall threshold,0.25,0.8136,0.6991,0.5292,0.5099,0.8883,0.5194,0.79,0.5785,0.1211,33624,4228,4567,4752,28.5832,0.8627,0.2353,0.005,balanced_precision_recall,balanced precision-recall,,,,,,,,
WP3.4,Calibrated Targeted CatBoost,calibrated_targeted_catboost,Calibrated Targeted CatBoost exploratory held-out F1 threshold,0.25,0.8136,0.6991,0.5292,0.5099,0.8883,0.5194,0.79,0.5785,0.1211,33624,4228,4567,4752,28.5832,0.8627,0.2353,0.005,heldout_f1,exploratory,,,,,,,,
WP3.5,PyTorch MLP - small_regularised,pytorch_mlp_small_regularised,PyTorch MLP - small_regularised,0.5,0.743041275359861,0.7122872232897359,0.4074025115664243,0.6614443609829381,0.7631300855965338,0.504233301975541,0.7901581066485192,0.578025138590698,0.1741457283496856,28886,8966,3155,6164,43.35309813730419,1.7427101209759712,0.4812269173562526,0.0102017535637627,default,default,,,,,,,,
WP3.5,PyTorch MLP - small_regularised,pytorch_mlp_small_regularised,PyTorch MLP - small_regularised,0.6,0.8025269763201968,0.7000912545942682,0.5002022653721683,0.5307436420216761,0.8694388671668604,0.5150205654188577,0.7901581066485192,0.578025138590698,0.1741457283496856,32910,4942,4373,4946,43.35309813730419,1.7427101209759712,0.4812269173562526,0.0102017535637627,validation_f1,validation_f1,,,,,,,,
WP3.5,PyTorch MLP - small_regularised,pytorch_mlp_small_regularised,PyTorch MLP - small_regularised,0.62,0.8104979754510186,0.6964432919887225,0.5209112920977328,0.5078871123511106,0.8849994716263342,0.5143167617495246,0.7901581066485192,0.578025138590698,0.1741457283496856,33499,4353,4586,4733,43.35309813730419,1.7427101209759712,0.4812269173562526,0.0102017535637627,balanced_precision_recall,balanced_precision_recall,,,,,,,,
WP3.5,PyTorch MLP - current_reference,pytorch_mlp_current_reference,PyTorch MLP - current_reference,0.5,0.7360666511203917,0.7108533527268033,0.3996667307569057,0.6691705118574954,0.7525361935961111,0.5004413770965412,0.7887248300027611,0.580068701473473,0.1793198436498642,28485,9367,3083,6236,37.686408335343,3.064814954996109,0.8166637290269136,0.0173128347719343,default,default,,,,,,,,
WP3.5,PyTorch MLP - current_reference,pytorch_mlp_current_reference,PyTorch MLP - current_reference,0.57,0.7875601534841322,0.7070645863920539,0.4692105263157894,0.5739886253889902,0.8401405473951178,0.5163376610840291,0.7887248300027611,0.580068701473473,0.1793198436498642,31801,6051,3970,5349,37.686408335343,3.064814954996109,0.8166637290269136,0.0173128347719343,validation_f1,validation_f1,,,,,,,,
WP3.5,PyTorch MLP - current_reference,pytorch_mlp_current_reference,PyTorch MLP - current_reference,0.62,0.8087596192575948,0.6989596850382664,0.5159426492617163,0.5174374932932718,0.8804818767832612,0.5166889900884007,0.7887248300027611,0.580068701473473,0.1793198436498642,33328,4524,4497,4822,37.686408335343,3.064814954996109,0.8166637290269136,0.0173128347719343,balanced_precision_recall,balanced_precision_recall,,,,,,,,
WP3.5,PyTorch MLP - wide_regularised,pytorch_mlp_wide_regularised,PyTorch MLP - wide_regularised,0.5,0.7437620571961586,0.7146372316476673,0.4088874259381171,0.6664878205816075,0.7627866427137272,0.5068342241625525,0.7913032143976816,0.5805126404245702,0.1765139549970626,28873,8979,3108,6211,29.782621758058667,1.7982371151447296,0.4747511483728885,0.010064470720843,default,default,,,,,,,,
WP3.5,PyTorch MLP - wide_regularised,pytorch_mlp_wide_regularised,PyTorch MLP - wide_regularised,0.58,0.8017849950181255,0.7041991543141061,0.4984727559365455,0.5428694065886898,0.8655289020395224,0.5197246763920279,0.7913032143976816,0.5805126404245702,0.1765139549970626,32762,5090,4260,5059,29.782621758058667,1.7982371151447296,0.4747511483728885,0.010064470720843,validation_f1,validation_f1,,,,,,,,
WP3.5,PyTorch MLP - wide_regularised,pytorch_mlp_wide_regularised,PyTorch MLP - wide_regularised,0.6,0.8101799834644167,0.7007344895737457,0.5195752440201652,0.5197982616160532,0.8816707175314382,0.5196867288917498,0.7913032143976816,0.5805126404245702,0.1765139549970626,33373,4479,4475,4844,29.782621758058667,1.7982371151447296,0.4747511483728885,0.010064470720843,balanced_precision_recall,balanced_precision_recall,,,,,,,,
WP3.5,Processed-feature TabTransformer,tabtransformer_style,Processed-feature TabTransformer - tabtransformer_screen_08_d32_h4_l1_drop0p2_wd0p0005,0.5,0.750333891585932,0.709510785235388,0.4147947864669994,0.6420216761455092,0.7769998943252668,0.5039801204565556,0.7879345615423327,0.5722086460601895,0.1767484694719314,29411,8441,3336,5983,404.25127888399584,3.200322459000745,0.7876984920003451,0.0166987872209693,default,default,,,,,,,,
WP3.5,Processed-feature TabTransformer,tabtransformer_style,Processed-feature TabTransformer - tabtransformer_screen_08_d32_h4_l1_drop0p2_wd0p0005,0.59,0.8024633779228764,0.7040556304725925,0.5000495589255625,0.5413670994741925,0.8667441614709923,0.519888705688376,0.7879345615423327,0.5722086460601895,0.1767484694719314,32808,5044,4274,5045,404.25127888399584,3.200322459000745,0.7876984920003451,0.0166987872209693,validation_f1,validation_f1,,,,,,,,
WP3.5,Processed-feature TabTransformer,tabtransformer_style,Processed-feature TabTransformer - tabtransformer_screen_08_d32_h4_l1_drop0p2_wd0p0005,0.61,0.8104555765194718,0.7000568768538509,0.520392749244713,0.5175448009443073,0.8825689527633943,0.5189648679184377,0.7879345615423327,0.5722086460601895,0.1767484694719314,33407,4445,4496,4823,404.25127888399584,3.200322459000745,0.7876984920003451,0.0166987872209693,balanced_precision_recall,balanced_precision_recall,,,,,,,,
WP3.5,Sequence-subset Tabular MLP,sequence_subset_tabular_mlp,Sequence-subset Tabular MLP,0.5,0.7222678718159409,0.6980765204252334,0.311482254697286,0.6631111111111111,0.7330419297393557,0.4238636363636364,0.7729044304139011,0.4431808178302385,0.1831737458705902,4528,1649,379,746,1.011637047995464,0.0748113720037508,0.0191467969998484,0.0026221305121676,default,default,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Sequence-subset Tabular MLP,sequence_subset_tabular_mlp,Sequence-subset Tabular MLP,0.69,0.8133388112845795,0.6519430144082888,0.3991525423728813,0.4186666666666667,0.8852193621499109,0.4086767895878525,0.7729044304139011,0.4431808178302385,0.1831737458705902,5468,709,654,471,1.011637047995464,0.0748113720037508,0.0191467969998484,0.0026221305121676,validation_f1,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Sequence-subset Tabular MLP,sequence_subset_tabular_mlp,Sequence-subset Tabular MLP,0.7,0.8166255820323199,0.6480697210080406,0.4048042704626334,0.4044444444444444,0.8916949975716367,0.4046242774566474,0.7729044304139011,0.4431808178302385,0.1831737458705902,5508,669,670,455,1.011637047995464,0.0748113720037508,0.0191467969998484,0.0026221305121676,balanced_precision_recall,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hourly Clinical GRU,hourly_clinical_gru,Hourly Clinical GRU,0.5,0.517118597644481,0.5411973449894771,0.1752772518258047,0.576,0.5063946899789542,0.2687681459975114,0.5500150018887271,0.171979929731826,0.2372464835643768,3128,3049,477,648,3.325619095005095,0.1684917079983279,0.0420384229946648,0.0057571107908333,default,default,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
