processed_feature_name,train_nonzero_count,test_nonzero_count,train_nonzero_percent,test_nonzero_percent,all_zero_train,all_zero_test,very_rare_train,rare_train,timing_or_leakage_flags,has_timing_or_leakage_flag,feature_family,random_forest_importance,random_forest_importance_normalised,regularised_random_forest_importance,regularised_random_forest_importance_normalised,xgboost_importance,xgboost_importance_normalised,targeted_xgboost_importance,targeted_xgboost_importance_normalised,catboost_importance,catboost_importance_normalised,targeted_catboost_importance,targeted_catboost_importance_normalised,lightgbm_importance,lightgbm_importance_normalised,targeted_lightgbm_importance,targeted_lightgbm_importance_normalised,available_model_signal_count,mean_available_model_signal,removal_review_reason,review_for_removal
num__lab_activity_near_discharge_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,9.878024086124702e-05,0.005249784906250605,0.0001013816971009,0.003546720305714394,0.00059689826,0.0054229284153192135,0.00028626344,0.0015412526724335794,0.0089207845759121,0.0017599743368049074,0.0615227654724378,0.00921548295570438,0.0,0.0,1.0,0.000966183574879227,8,0.0034627908958882883,full_record_only_not_for_early_prediction,True
num__high_order_activity_and_late_last_order,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,high_order_activity_and_late_last_order,3.184329749600443e-05,0.001692347185046754,2.3758481237744277e-05,0.0008311627270845323,0.00031508398,0.0028625948220285828,0.0,0.0,0.0,0.0,0.1492534470530722,0.022356644517449585,0.0,0.0,0.0,0.0,8,0.0034678436564511816,full_record_only_not_for_early_prediction,True
num__systolic_bp_arterial_vital_max_value,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,9.608188380908248e-05,0.0051063777430303174,8.098679172893114e-05,0.0028332283531788765,0.00023223332,0.0021098816237325266,0.00016594955,0.000893478354856107,0.0018544950039487,0.00036587181171213466,0.0,0.0,12.0,0.011204481792717087,8.0,0.007729468599033816,8,0.003780348534782608,full_record_only_not_for_early_prediction,True
num__systolic_bp_arterial_vital_min_value,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,9.925512841763109e-05,0.005275023329481151,7.232463768854572e-05,0.0025301930075021842,0.00028984828,0.0026333239331999387,0.00019820413,0.0010671381754158776,0.0055891354137883,0.0011026759820830145,0.0,0.0,11.0,0.01027077497665733,10.0,0.00966183574879227,8,0.00406762064414147,full_record_only_not_for_early_prediction,True
num__systolic_bp_arterial_vital_last_value,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,9.344179499157125e-05,0.004966067309440669,8.653950878766074e-05,0.003027483676449729,0.0003126566,0.0028405416366552873,0.00022269957,0.001199022506724257,0.0247388455587347,0.004880706728769026,0.0006083152043388,9.1119414971544e-05,12.0,0.011204481792717087,8.0,0.007729468599033816,8,0.004492361458095177,full_record_only_not_for_early_prediction,True
num__careunit_change_last_24h_before_discharge_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,care_team_complexity_features,0.0001239619860307,0.006588096541766236,9.360668306175348e-05,0.003274720517208085,0.00036539897,0.0033197155866082984,0.0001755054,0.0009449273954666524,0.0154178400944525,0.003041773138258273,0.011446300739962,0.001714539139535961,12.0,0.011204481792717087,7.0,0.00676328502415459,8,0.004606442391964398,full_record_only_not_for_early_prediction,True
num__systolic_bp_arterial_vital_value_change,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,0.0001081022495945,0.005745213347374879,7.13230129470923e-05,0.0024951523353611057,0.00040828952,0.0037093839738870107,0.00013022064,0.0007011126164277599,0.0244981181237882,0.004833213808828473,0.0157968965850273,0.0023662140366164435,7.0,0.006535947712418301,11.0,0.010628019323671498,8,0.004626782144323184,full_record_only_not_for_early_prediction,True
num__service_change_last_24h_before_discharge_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,care_team_complexity_features,6.741293645531974e-05,0.0035827348992424905,4.862619828798329e-05,0.0017011307739901091,0.00024685895,0.0022427581117942363,0.00025886844,0.00139375700564037,0.0096318441349193,0.001900258699143579,0.0,0.0,15.0,0.014005602240896359,13.0,0.012560386473429951,8,0.004673328525517137,full_record_only_not_for_early_prediction,True
num__mean_bp_arterial_vital_value_change,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,0.0001117450649457,0.00593881478912324,7.842031979040868e-05,0.0027434433288727193,0.00036077923,0.0032777444149761567,0.00020967216,0.0011288824620249132,0.0005370342721907,0.00010595105497698843,0.0060603412584837,0.0009077773267251602,13.0,0.012138188608776844,13.0,0.012560386473429951,8,0.004850148557363246,full_record_only_not_for_early_prediction,True
num__num_outputevents_last_24h_before_discharge,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,0.0001754931655789,0.009326777944390375,0.0001897932182868,0.006639694150263956,0.00071373396,0.006484401835351818,0.0005463814,0.002941737138762814,0.0054970821650481,0.0010845148714740069,0.0064634607653918,0.000968160518483467,7.0,0.006535947712418301,8.0,0.007729468599033816,8,0.0052138378462723185,full_record_only_not_for_early_prediction,True
