processed_feature_name,model_family,model_name,model_mean_abs_shap,model_mean_signed_shap
num__creatinine_lab_first_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.000755907056954518,-5.606085126441282e-05
num__glucose_lab_first_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0019750052455006074,9.712119834442023e-05
num__hemoglobin_lab_first_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0023257051519673506,0.0003776242102327489
num__platelet_lab_first_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0016307305275805246,5.387698617027223e-06
num__potassium_lab_first_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0014639755161208938,2.142447784123433e-05
num__sodium_lab_first_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0023398931738579307,0.00025497828494577135
num__urea_nitrogen_lab_first_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0011768972833537995,0.00029476195504764
num__wbc_lab_first_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0023243485675368083,1.9523824681347272e-05
num__creatinine_lab_last_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0007748526532235477,3.292791852193602e-05
num__glucose_lab_last_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0029031270026634113,0.00011921653598634608
num__hemoglobin_lab_last_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.01757038779714165,0.0018999615383757512
num__platelet_lab_last_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.004423178569252984,0.0007666558875233892
num__potassium_lab_last_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0016309345385812058,0.00011400526073701094
num__sodium_lab_last_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.009450924510380635,-0.0006646426624938987
num__urea_nitrogen_lab_last_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0016102874436060646,2.451921548665786e-05
num__wbc_lab_last_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.011312770550882171,-0.00043914707006074776
num__creatinine_lab_max_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0007131067265012365,2.2737707823421396e-05
num__glucose_lab_max_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002164603654755997,0.0003396521495891384
num__hemoglobin_lab_max_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002164241842321286,-0.0001137770859486014
num__platelet_lab_max_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002968819103532055,0.00034553280362382467
num__potassium_lab_max_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0025132850640367742,-0.0001022484917213484
num__sodium_lab_max_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0023815343133675566,-0.00020568720396701523
num__urea_nitrogen_lab_max_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.001427734240354464,8.869769367392731e-05
num__wbc_lab_max_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0022500080947329723,0.00037517696340392273
num__creatinine_lab_mean_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0045124617575962225,0.0007924635888761357
num__glucose_lab_mean_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0032903569044918334,3.502208528245108e-05
num__hemoglobin_lab_mean_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.003954745490571803,-5.5284270759728584e-05
num__platelet_lab_mean_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0024497179376491095,1.3376897660525985e-05
num__potassium_lab_mean_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.004178112655008314,-8.8041009091663e-05
num__sodium_lab_mean_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0031261791352816797,-1.2325052853257388e-05
num__urea_nitrogen_lab_mean_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002849052336136104,-8.22356909741463e-05
num__wbc_lab_mean_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0025924430011014413,0.00021090260916171725
num__creatinine_lab_measured,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__glucose_lab_measured,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__hemoglobin_lab_measured,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__platelet_lab_measured,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__potassium_lab_measured,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__sodium_lab_measured,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__urea_nitrogen_lab_measured,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__wbc_lab_measured,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__creatinine_lab_min_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0007821902877081466,4.371934407195867e-05
