processed_feature_name,feature_name_clean,feature_family,importance_rank,mean_abs_shap,mean_signed_shap,nonzero_train_percent,selection_reason
num__platelet_lab_first_72h_mean,platelet_lab_first_72h_mean,lab_vital_hourly,380,0.002336826819507579,-0.00012678890873055963,100.0,top_global_shap
num__platelet_lab_first_24h_min,platelet_lab_first_24h_min,lab_vital_hourly,381,0.0023329320866344446,0.00017478178196878393,100.0,top_global_shap
num__hemoglobin_lab_last_to_first_ratio,hemoglobin_lab_last_to_first_ratio,lab_vital_hourly,382,0.0023276302835735186,0.00012506432423851617,100.0,top_global_shap
num__hemoglobin_lab_first_72h_max,hemoglobin_lab_first_72h_max,lab_vital_hourly,383,0.002320024122527754,0.0004856555854990929,100.0,top_global_shap
num__latest_weight_kg_before_admission_filled,latest_weight_kg_before_admission_filled,medical_comorbidity,384,0.002315824355217206,0.00023514255115310705,100.0,top_global_shap
cat__drg_severity_category_Major,drg_severity_category_Major,medical_comorbidity,385,0.0023038288645020485,-0.00012176527131336886,100.0,top_global_shap
num__frequent_psych_admitter_flag,frequent_psych_admitter_flag,psychiatric_history,386,0.002297763313301361,0.0006626828521621418,100.0,top_global_shap
num__admission_dayofweek,admission_dayofweek,other,387,0.0022875462762486677,-3.030068309605073e-05,100.0,top_global_shap
cat__last_service_NMED,last_service_NMED,demographic_admin,388,0.0022746289601447865,0.0004447007512944031,100.0,top_global_shap
num__wbc_lab_std_value,wbc_lab_std_value,lab_vital_hourly,389,0.0022716216625897827,-0.00029946463444354104,19.371733221827306,top_global_shap
num__care_team_touchpoints_last_24h_before_discharge,care_team_touchpoints_last_24h_before_discharge,discharge_aftercare,390,0.002269708105543806,-0.00032317856734445004,100.0,top_global_shap
num__glucose_lab_first_24h_min,glucose_lab_first_24h_min,lab_vital_hourly,391,0.0022405946610668994,9.647909981191647e-05,100.0,top_global_shap
num__days_since_previous_icu_admission_filled,days_since_previous_icu_admission_filled,prior_utilisation,392,0.002240081610504988,0.00015307994266476268,100.0,top_global_shap
num__num_infusion_pharmacy_orders,num_infusion_pharmacy_orders,poe_late_order_pathway,393,0.002239934072000212,0.0007068432331398387,100.0,top_global_shap
num__platelet_lab_min_value,platelet_lab_min_value,lab_vital_hourly,394,0.0022351551345578475,6.834485409481651e-05,100.0,top_global_shap
num__single_or_divorced_or_widowed,single_or_divorced_or_widowed,other,395,0.002220642094408444,0.00020000899876373377,0.025611540873928494,top_global_shap
num__platelet_lab_value_change,platelet_lab_value_change,lab_vital_hourly,396,0.002217857435935098,-0.0002446809391465027,100.0,top_global_shap
num__urea_nitrogen_lab_first_72h_mean,urea_nitrogen_lab_first_72h_mean,lab_vital_hourly,397,0.002204180335225638,-0.0002508204655453167,12.618649383232281,top_global_shap
num__previous_ed_visits_60d,previous_ed_visits_60d,prior_utilisation,398,0.0021934245181422425,0.00015920543675316395,100.0,top_global_shap
num__hemoglobin_lab_value_range,hemoglobin_lab_value_range,lab_vital_hourly,399,0.0021852416254161938,-6.831878416783988e-05,100.0,top_global_shap
num__admitted_from_hospital_transfer_flag,admitted_from_hospital_transfer_flag,demographic_admin,400,0.0021702682807320153,0.0003227502931040485,100.0,top_global_shap
cat__first_service_OBS,first_service_OBS,demographic_admin,401,0.0021606705942502375,-0.0005477175841219338,100.0,top_global_shap
num__urea_nitrogen_lab_max_value,urea_nitrogen_lab_max_value,lab_vital_hourly,402,0.0021568575023792015,-0.00023812760557512008,10.83211373614886,top_global_shap
num__num_unique_order_providers,num_unique_order_providers,poe_late_order_pathway,403,0.0021528284588600544,0.00028070680812156357,100.0,top_global_shap
num__hemoglobin_lab_first_72h_min,hemoglobin_lab_first_72h_min,lab_vital_hourly,404,0.002149931576884634,-7.3061026371833e-05,100.0,top_global_shap
num__abnormal_labs_without_psych_history_flag,abnormal_labs_without_psych_history_flag,psychiatric_history,405,0.002148959982820116,-0.00025380846615086493,100.0,top_global_shap
num__home_discharge_low_aftercare_quality_flag,home_discharge_low_aftercare_quality_flag,discharge_aftercare,406,0.00212730311463318,0.000966404572609897,100.0,top_global_shap
num__std_previous_admission_gap_days,std_previous_admission_gap_days,prior_utilisation,407,0.00212231060111106,0.00025737822660682093,4.450658582479615,top_global_shap
num__heart_rate_vital_last_value,heart_rate_vital_last_value,lab_vital_hourly,408,0.0021205285494276145,-0.0001731064972324235,100.0,top_global_shap
num__latest_bmi_before_admission_filled,latest_bmi_before_admission_filled,medical_comorbidity,409,0.0021160463566755813,2.8637007252551868e-05,100.0,top_global_shap
