processed_feature_name,mean_abs_shap,max_abs_shap,mean_signed_shap,shap_model_count,feature_name_clean,feature_family,nonzero_train_percent,importance_rank
num__bmi_change_recent,0.0017890931377984925,0.001904237790192732,-0.00013998325857477722,2,bmi_change_recent,medical_comorbidity,100.0,453
num__had_iv_prescription,0.00177241922500092,0.0019660230521953742,0.0007326506232399306,2,had_iv_prescription,other,100.0,454
num__late_order_severity_score_last_12h,0.0017700150113583522,0.0018016824439229403,2.6998681617525932e-05,2,late_order_severity_score_last_12h,poe_late_order_pathway,100.0,455
num__vital_72h_hours_with_2plus_instability_indicators,0.0017678797477115177,0.0018639676038556263,0.0002456364427015246,2,vital_72h_hours_with_2plus_instability_indicators,lab_vital_hourly,10.291135270750575,456
num__num_lab_events_first_72h,0.0017667880038283613,0.002318853046745062,-0.00027987563766840437,2,num_lab_events_first_72h,lab_vital_hourly,100.0,457
cat__first_service_VSURG,0.0017626314898790407,0.0022250639740377665,-6.035379930166279e-05,2,first_service_VSURG,demographic_admin,100.0,458
num__num_unique_enter_providers,0.0017618770660759982,0.001987413503229618,-8.286137580897272e-05,2,num_unique_enter_providers,poe_late_order_pathway,100.0,459
num__pharmacy_logistics_complexity_score,0.0017546844959538232,0.002857100462969353,2.7373438236612252e-05,2,pharmacy_logistics_complexity_score,medication_emar_pharmacy,100.0,460
cat__discharge_location_HOME HEALTH CARE,0.0017536306510634115,0.002227681011697529,-0.00018048104418720952,2,discharge_location_HOME HEALTH CARE,discharge_aftercare,100.0,461
num__num_distinct_specimen_types,0.0017285201891997226,0.001931497796014203,4.246888363327329e-05,2,num_distinct_specimen_types,other,100.0,462
num__glucose_lab_std_value,0.0017285108210348184,0.0018254790674553504,8.855476721348098e-05,2,glucose_lab_std_value,lab_vital_hourly,100.0,463
num__potassium_lab_first_72h_mean,0.0017284037557121663,0.001904698321595788,-6.015380100583372e-05,2,potassium_lab_first_72h_mean,lab_vital_hourly,100.0,464
num__respiratory_rate_vital_last_value,0.0017043783537258606,0.001927930978126824,-4.7060842013994306e-06,2,respiratory_rate_vital_last_value,lab_vital_hourly,49.1135270750575,465
num__antipsychotic_prescription_count,0.0016996536374868014,0.0017858926439657807,3.025667378260259e-05,2,antipsychotic_prescription_count,psychiatric_history,100.0,466
num__num_unique_drugs,0.0016973673776269783,0.0019274167716503143,-0.0001699719372087621,2,num_unique_drugs,medication_emar_pharmacy,100.0,467
num__new_smi_this_admission_flag,0.0016963733797398365,0.002412276342511177,0.0005583800679847816,2,new_smi_this_admission_flag,psychiatric_history,100.0,468
num__safety_orders_first_72h,0.0016911161510574546,0.002490667626261711,0.0009102199840353342,2,safety_orders_first_72h,poe_late_order_pathway,24.896508467489024,469
num__late_imaging_order_share_last_12h,0.0016848790881844851,0.0020800300408154726,-0.00012123418506923259,2,late_imaging_order_share_last_12h,poe_late_order_pathway,100.0,470
num__wbc_lab_first_72h_mean,0.0016719433992961295,0.0017383674858137965,0.00015174287228903754,2,wbc_lab_first_72h_mean,lab_vital_hourly,10.987873719422957,471
num__num_unique_poe_order_categories,0.001661739747885096,0.0018561723409220576,-0.0003149786743775553,2,num_unique_poe_order_categories,poe_late_order_pathway,100.0,472
num__self_harm_without_aftercare_or_safety_plan_flag,0.0016581306765481845,0.0022159551867604287,0.0007701173647524179,2,self_harm_without_aftercare_or_safety_plan_flag,psychiatric_history,11.782354171022371,473
num__num_unique_order_providers_first_24h,0.001656963026895213,0.0024746465496718884,-0.0006122117300879993,2,num_unique_order_providers_first_24h,poe_late_order_pathway,100.0,474
num__wbc_lab_first_24h_mean,0.0016526476285475778,0.0016557888593524694,-0.0001712335961108566,2,wbc_lab_first_24h_mean,lab_vital_hourly,23.16537737821451,475
num__previous_height_cm_before_admission,0.001639860088264149,0.0017207134515047073,0.00010893955798436974,2,previous_height_cm_before_admission,prior_utilisation,100.0,476
num__hemoglobin_lab_value_change,0.0016221546918006161,0.0017823316624092896,0.00015258983533128826,2,hemoglobin_lab_value_change,lab_vital_hourly,100.0,477
num__prn_psychotropic_orders_last_24h_before_discharge,0.0016141559018297766,0.0017025620909407735,-0.00019997476685268975,2,prn_psychotropic_orders_last_24h_before_discharge,psychiatric_history,100.0,478
num__creatinine_lab_std_value,0.0016034058948632846,0.001639407710172236,-0.00020059686265537074,2,creatinine_lab_std_value,lab_vital_hourly,100.0,479
num__night_admission,0.0016003560085563525,0.002265460556373,-2.7684623844875492e-05,2,night_admission,other,100.0,480
cat__race_UNABLE TO OBTAIN,0.0015994193974694687,0.0018952329432216442,0.00019973827202033744,2,race_UNABLE TO OBTAIN,demographic_admin,100.0,481
num__num_stopped_emar_events,0.001586238576795019,0.001654814491508618,0.0001705525614016169,2,num_stopped_emar_events,medication_emar_pharmacy,100.0,482
num__recent_psych_admission_365d,0.0015787207910863022,0.0027521022326456924,0.0009245976984755241,2,recent_psych_admission_365d,prior_utilisation,100.0,483
num__potassium_lab_first_72h_min,0.001577607842965457,0.002063798950985074,0.00016618305982933604,2,potassium_lab_first_72h_min,lab_vital_hourly,100.0,484
num__admitted_from_emergency_transfer_flag,0.0015658923779405109,0.0016464544703765614,-1.6926621910547956e-05,2,admitted_from_emergency_transfer_flag,demographic_admin,100.0,485
cat__marital_status_SINGLE,0.0015631394043927795,0.0019672463512774123,0.00025177527222581425,2,marital_status_SINGLE,demographic_admin,100.0,486
num__late_order_type_diversity_last_6h,0.0015595764469897386,0.002083930652588606,0.0005609495252228785,2,late_order_type_diversity_last_6h,poe_late_order_pathway,100.0,487
cat__admission_location_EMERGENCY ROOM,0.0015450285673910408,0.0027057889585058448,7.674864752135242e-05,2,admission_location_EMERGENCY ROOM,demographic_admin,100.0,488
num__num_iv_route_pharmacy_orders,0.0015448053121537766,0.0017099012827442685,6.269035005448256e-05,2,num_iv_route_pharmacy_orders,poe_late_order_pathway,100.0,489
num__potassium_lab_first_value,0.0015391695154695724,0.0016143635148182511,-5.8273792771857915e-05,2,potassium_lab_first_value,lab_vital_hourly,100.0,490
num__urea_nitrogen_lab_first_24h_min,0.0015368443127475287,0.001760781044140458,-0.0002406304446775833,2,urea_nitrogen_lab_first_24h_min,lab_vital_hourly,0.0015680535228935813,491
cat__race_WHITE,0.0015290500231824886,0.0017729125684127212,-4.967467116844351e-05,2,race_WHITE,demographic_admin,100.0,492
num__num_pain_chart_events,0.0015190310708412043,0.0018723297398537397,0.00012936260320769256,2,num_pain_chart_events,lab_vital_hourly,100.0,493
num__pharmacy_infusion_complexity_score,0.0015145989644522518,0.0015747285303091111,0.00016676280858868674,2,pharmacy_infusion_complexity_score,medication_emar_pharmacy,100.0,494
num__wbc_lab_first_24h_min,0.0015110986522841796,0.0016596634139261334,5.7569615872397626e-05,2,wbc_lab_first_24h_min,lab_vital_hourly,25.83315910516412,495
num__weight_change_recent_filled,0.001503988243206758,0.001506777829490602,9.981497589876416e-05,2,weight_change_recent_filled,prior_utilisation,2.900376332845495,496
num__previous_ed_visits_90d,0.0015014861682684606,0.0017657318385317922,7.127650121745106e-05,2,previous_ed_visits_90d,prior_utilisation,100.0,497
num__had_benzodiazepine,0.0014992740547433486,0.0022436892613768578,-4.149383761743282e-05,2,had_benzodiazepine,medication_emar_pharmacy,100.0,498
num__platelet_lab_first_value,0.0014985450292643136,0.0016307305275805246,2.641102277101441e-05,2,platelet_lab_first_value,lab_vital_hourly,100.0,499
num__heart_rate_vital_min_value,0.0014957045127545125,0.0015138820590266241,-7.114567269063285e-05,2,heart_rate_vital_min_value,lab_vital_hourly,100.0,500
num__num_antibiotic_prescriptions,0.0014911445380924116,0.0015722974203526974,-1.083433553574999e-05,2,num_antibiotic_prescriptions,other,100.0,501
cat__discharge_location_grouped_Psych facility,0.001488901532224413,0.0020313615155723615,0.0010759467209810916,2,discharge_location_grouped_Psych facility,psychiatric_history,100.0,502
cat__drg_mortality_category_Moderate,0.0014860971489447307,0.0015386312284490368,-0.0002729954214582102,2,drg_mortality_category_Moderate,medical_comorbidity,100.0,503
num__platelet_lab_first_72h_min,0.00148476418124374,0.0015141813782975078,-9.900116507857063e-05,2,platelet_lab_first_72h_min,lab_vital_hourly,100.0,504
num__mean_bp_noninvasive_vital_mean_value,0.0014607113368262043,0.0020162663634703437,-0.000160213541460967,2,mean_bp_noninvasive_vital_mean_value,lab_vital_hourly,100.0,505
